	Unnamed: 0	id	like_ratio	dislike_ratio	views_to_days	duration	comment_count	peaks_count	heightxwid	label	comments_sim_score
873	873	4zGFK-zqXhA	0.01507202830245829	0.010342084327764518	302.3333333333333	144.0	157	2.0	0.0066778462760430715	1.0	0.85128695
896	896	jcgU1ku8emI	0.01338654693606053	0.030120481927710843	9.866283839212471	297.0	32	3.0	0.0013043592060702099	1.0	0.74831784
899	899	EnGZBx6bO10	0.018803285708724256	0.07293666026871401	41.0335463258786	145.0	59	1.0	0.05582824516759237	1.0	0.7540621
918	918	Uh64owrb41E	0.03162333099086437	0.0625	5.808163265306122	90.0	47	2.0	0.009746719920468931	1.0	0.6355319
927	927	hsGI6BP9uz4	0.09933774834437084	0.1176470588235294	1.1102941176470589	244.0	45	1.0	0.017398169703838732	1.0	0.7196670999999999
928	928	K4aXdNW16KY	0.010243439772368005	0.05263157894736842	46.789940828402365	88.0	48	6.0	0.007909431356096513	1.0	0.42366853
931	931	KmmMBq5e3vg	0.1140684410646388	0.0625	1.1434782608695653	114.0	21	1.0	0.06347628450902326	1.0	0.79333466
933	933	OvL7oJWku-I	0.004230647728891671	0.05336105336105336	664.366255144033	177.0	158	1.0	0.0015271367120443086	1.0	0.7631156
959	959	Hk8Fmo9WTsk	0.030882352941176475	0.02325581395348837	3.6756756756756763	207.0	346	1.0	0.014377403352678278	1.0	0.8369969999999999
982	982	PrNsihDd0qQ	0.025174825174825177	0.02325581395348837	19.324324324324323	182.0	19	3.0	0.0017376467860630762	1.0	0.5137622000000001
1007	1007	gRHYixp-Xx4	0.2933884297520661	0.0	0.6302083333333334	267.0	243	1.0	0.024183927623319026	1.0	0.77443093
1037	1037	fyaF8JQ7y2g	0.12626262626262627	0.029126213592233014	1.841860465116279	178.0	19	1.0	0.03352857423373254	1.0	0.61352056
1041	1041	8hW7VxUjMeg	0.16853932584269662	0.0	0.6433734939759036	158.0	41	1.0	0.02837622855793322	1.0	0.9010796999999998
1124	1124	ITL1aceuK5s	0.06191950464396285	0.024390243902439025	2.748936170212766	228.0	9	1.0	0.032753242988925665	1.0	0.50090426
1127	1127	jX2_-XNlbUU	0.02768166089965398	0.0	4.26044226044226	615.0	34	1.0	0.07599205779252463	1.0	0.62092125
1148	1148	_QBwwP8JOKQ	0.00489596083231334	0.1794871794871795	9.244695898161245	339.0	41	2.0	0.0032140498948684385	1.0	0.53469896
1195	1195	AEp_GWASrVU	0.036818851251840944	0.10714285714285714	2.0329341317365266	691.0	90	1.0	0.02567431232535536	1.0	0.5461550000000001
1247	1247	ZG3kVlknJ8I	0.02366863905325444	0.3333333333333333	0.4604904632152589	243.0	11	1.0	0.09715300755357432	1.0	0.72541565
1252	1252	eLQLtt2In-U	0.061433447098976114	0.1	2.6757990867579906	717.0	17	1.0	0.04642242948908898	1.0	0.82313794
1265	1265	ZBArZzDWjEI	0.010538308174309313	0.0	13.66147859922179	104.0	15	1.0	0.016996432896571958	1.0	0.7743608000000001
1275	1275	azG4YcFCPko	0.05232558139534884	0.06896551724137931	4.128	277.0	46	2.0	0.08452366668823721	1.0	0.7380686
1280	1280	buSjOygnKRU	0.02773246329526917	0.15841584158415842	4.251040221914009	367.0	17	1.0	0.010130625443850492	1.0	0.68569785
1285	1285	JPb-EVnJQJo	0.024205748865355526	0.13513513513513514	7.1266846361186	65.0	43	1.0	0.04318271226290935	1.0	0.5610785
1329	1329	AEXj3gjT3sw	0.11999082950996592	0.040360448996019864	938.7637795275592	219.0	1770	1.0	0.023564323168162826	1.0	0.8397574000000001
1334	1334	D-Ijt2wd9Gw	0.14675767918088736	0.0	1.1098484848484849	395.0	19	3.0	0.00649833936079326	1.0	0.5308815
1346	1346	4IRNpQz5t10	0.3325892857142857	0.006666666666666667	1.1034482758620692	165.0	23	1.0	0.0793551307982186	1.0	0.7488513000000001
1398	1398	dn_DlXZbCUM	0.050939027527656285	0.01492537313432836	14.95	405.0	106	1.0	0.03691082048736642	1.0	0.9006728
1400	1400	u8ECZhglIOs	0.046099290780141834	0.07142857142857142	0.7480106100795756	53.0	37	1.0	0.03321473144734439	1.0	0.6885738
1437	1437	zgmeB17nxQk	0.2581699346405229	0.02469135802469136	1.1906614785992218	875.0	18	1.0	0.06353622345691405	1.0	0.7309393
1440	1440	Wgx4YSBgvfE	0.22011385199240988	0.01694915254237288	0.9813780260707636	130.0	12	2.0	0.012220223900735705	1.0	0.84592444
1444	1444	5atVDycaXWM	0.05165625866129005	0.015588414741273841	18760.504716981133	738.0	32912	1.0	0.004429146906926695	1.0	0.40447554
1461	1461	uIk1C4uBHL0	0.031023306065750888	0.03365384615384615	7.586651053864169	7939.0	44	1.0	0.05455187836294492	1.0	0.85137576
1462	1462	6swbZ5lr64U	0.10328638497652584	0.0	0.6513761467889908	1276.0	29	1.0	0.02118958111813474	1.0	0.8910691999999999
1491	1491	TsgTxTpMZB4	0.07509881422924901	0.24	0.3810240963855422	149.0	20	1.0	0.1610877289898975	1.0	0.88158095
1504	1504	0aixuILVZz8	0.026946107784431142	0.1	1.6997455470737914	152.0	6	2.0	0.011606449464119277	1.0	0.899091
1527	1527	4PWffodz4Zg	0.008482466121857867	0.006060606060606061	55.39828080229226	77.0	405	1.0	0.003992206934282852	1.0	0.60026324
1537	1537	MKdlU0kDdEQ	0.005642728166213344	0.03564453125	154.1885462555066	170.0	66	1.0	0.0006189624961110588	1.0	0.88752055
1544	1544	ADb9LT7ozSM	0.01744644389377468	0.01981635271082304	7813.314553990609	661.0	6369	1.0	0.013895220506340513	1.0	0.4457715
1549	1549	ogGpf9h0v8o	0.11059907834101383	0.016393442622950817	3.2291666666666665	364.0	82	1.0	0.0240336361998326	1.0	0.88489896
1564	1564	M80yV9LFpIo	0.006477732793522267	0.05882352941176471	7.222222222222222	424.0	27	3.0	0.003061559312152053	1.0	0.87530833
